holding_id,ticker,company_name,exchange,quantity,average_buy_price,invested_amount,current_price,current_value,unrealised_pnl,unrealised_pnl_pct,portfolio_tag,notes,last_updated
STK001,BEL,Bharat Electronics Ltd,NSE,200,225.8562,45171.25,418.05,83610.0,38438.75,85.1,Defence,,2026-07-03 18:09:01
STK002,FEDERALBNK,Federal Bank Ltd,NSE,320,161.8414,51789.25,327.4,104768.0,52978.75,102.3,Banking,,2026-07-03 18:09:01
STK003,FCL,Fineotex Chemical Ltd,NSE,70,331.45,23201.5,39.12,2738.4,-20463.1,-88.2,Chemicals,,2026-07-03 18:09:01
STK004,HCLTECH,HCL Technologies Ltd,NSE,145,1514.7459,219638.15,1139.0,165155.0,-54483.15,-24.81,IT,,2026-07-03 18:09:01
ETF001,HDFCSML250,HDFC Nifty Smallcap 250 ETF,NSE,372,165.0895,61413.3,181.46,67503.12,6089.82,9.92,ETF,,2026-07-03 18:09:01
ETF002,ICICIFMCG,ICICI Prudential Nifty FMCG ETF,NSE,616,62.0021,38193.28,62.0021,38193.29,0.01,0,ETF,,
STK005,INDEGENE,Indegene Ltd,NSE,40,592.6,23704.0,592.6,23704.0,0.0,0,Healthcare/IT,,
STK006,KAYNES,Kaynes Technology India Ltd,NSE,10,3982.6,39826.0,3333.8,33338.0,-6488.0,-16.29,Electronics Manufacturing,,2026-07-03 18:09:01
STK007,MSUMI,Motherson Sumi Wiring India Ltd,NSE,370,66.0549,24440.33,41.3,15281.0,-9159.33,-37.48,Auto Ancillary,,2026-07-03 18:09:01
ETF003,NIFTYBEES,Nippon India ETF Nifty 50 BeES,NSE,143,273.7725,39149.47,275.91,39455.13,305.66,0.78,ETF,,2026-07-03 18:09:01
ETF004,MID150BEES,Nippon India ETF Nifty Midcap 150,NSE,236,225.8552,53301.82,236.84,55894.24,2592.42,4.86,ETF,,2026-07-03 18:09:01
STK008,SHRIRAMFIN,Shriram Finance Ltd,NSE,250,470.1912,117547.8,1063.6,265900.0,148352.2,126.21,NBFC,Quantity and average price adjusted for 5:1 stock split.,2026-07-03 18:09:01
STK009,SBIN,State Bank of India,NSE,150,667.574,100136.1,1040.0,156000.0,55863.9,55.79,Banking,,2026-07-03 18:09:01
STK010,VENUSPIPES,Venus Pipes & Tubes Ltd,NSE,50,1389.456,69472.8,1783.2,89160.0,19687.2,28.34,Steel/Pipes,,2026-07-03 18:09:01
